corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped
U30000,,0,1,0.003,29952,361043,18999,227988,12.167273912653924,nan,1.361572265625,16.3388671875,1673.575892159748,0.0003,2.3564281463623047,2.740732192993164,bcce622984e5,ede2fbd3c690,12.250516888241767,12.335420581769943,0.00031580609505763463,1,S,2045568,2972592,7.987447587907125e-06,5.496505133398731e-06,30000,4.53857421875e-05,0.9984,,,,,,
U30000,,0,1,0.003,50816,612242,24536,294432,12.046782159881591,nan,10.009765625,120.1171875,2109.4211179927825,0.00015,2.4150807857513428,4.9048097133636475,bcce622984e5,ede2fbd3c690,12.10142421278,12.261701900959014,0.0006521030322791001,1,S,2045568,2972592,5.872070129176835e-05,4.040823210854365e-05,30000,0.0003336588541666667,1.6938666666666666,,,,,,
U30000,,0,1,0.003,86272,1039177,28310,339720,11.978661844773292,nan,7.08837890625,85.060546875,1903.2276036348348,0.00025,2.366948366165161,7.99765419960022,bcce622984e5,ede2fbd3c690,12.053227068805695,12.173761384630204,0.0004945249028611798,1,S,2045568,2972592,4.1582849787931764e-05,2.861494173266967e-05,30000,0.000236279296875,2.8757333333333333,,,,,,
U30000,,0,1,0.003,146304,1762524,29767,357204,11.961929579167366,nan,3.732666015625,44.7919921875,2243.7186171054846,0.00035,2.371717691421509,12.852329969406128,bcce622984e5,ede2fbd3c690,12.031645351953506,12.183217929172516,0.00036953673531091476,1,S,2045568,2972592,2.189709273292308e-05,1.5068328309939609e-05,30000,0.00012442220052083335,4.8768,,,,,,
U30000,,0,1,0.003,248064,2988599,29989,359868,11.88085256452322,nan,10.678466796875,128.1416015625,3612.692428040934,0.0004,2.392622470855713,20.535767316818237,bcce622984e5,ede2fbd3c690,11.946472505559921,12.18268641796112,0.0006002200806962553,1,S,2045568,2972592,6.26435305805038e-05,4.310769912672173e-05,30000,0.00035594889322916666,8.2688,,,,,,
U30000,,0,1,0.003,420608,5066718,30000,360000,11.650871166775227,nan,43.67578125,524.109375,9891.888630390167,0.0004,2.379331588745117,33.22830820083618,bcce622984e5,ede2fbd3c690,11.736968090662955,12.371266791725159,0.0017,1,S,2045568,2972592,0.00025621703849493146,0.0001763139290558543,30000,0.001455859375,14.020266666666666,,,,,,
U30000,,0,1,0.003,713216,8590941,30000,360000,8.174778215961158,nan,4567.67578125,54812.109375,109826.12032637,0.00015,2.137476921081543,54.06312799453735,bcce622984e5,ede2fbd3c690,8.280998339012116,13.779536125349999,0.1525,1,S,2045568,2972592,0.026795544990437865,0.018439163321101584,30000,0.152255859375,23.773866666666667,,,,,,
U30000,,0,1,0.003,999936,12045013,30000,360000,1.363293154795484,nan,25900.67578125,310808.109375,314189.3694814177,0.0004,1.680311679840088,76.01633095741272,bcce622984e5,ede2fbd3c690,1.4102879937216815,16.365636634683607,0.8636,1,S,2045568,2972592,0.1519422035224446,0.10455794450600688,30000,0.863355859375,33.3312,,,,,,
